EL_KEY;EL_KEY2;EL_DESC;EL_DESC2;EL_DESCS;EL_ART1;EL_ART2;EL_ART3;EL_ART4;EL_ART5;EL_MAT1_KEY;EL_MAT2_KEY;EL_MAT1_QTY;EL_MAT2_QTY;EL_MAT1_THK;EL_MAT2_THK;EL_EF_MAT;EL_EF_THK;EL_EF_RIB;EL_EF_LENP;EL_EF_BA;EL_EF_CNC;EL_EF_ET;EL_EB_MAT;EL_EB_THK;EL_EB_RIB;EL_EB_LENP;EL_EB_BA;EL_EB_CNC;EL_EB_ET;EL_EL_MAT;EL_EL_THK;EL_EL_RIB;EL_EL_LENP;EL_EL_BA;EL_EL_CNC;EL_EL_ET;EL_ER_MAT;EL_ER_THK;EL_ER_RIB;EL_ER_LENP;EL_ER_BA;EL_ER_CNC;EL_ER_ET;EL_SUR_F;EL_SUR_B;EL_VAR_F;EL_VAR_B;EL_CORNER1;EL_CORNER2;EL_CORNER3;EL_CORNER4;EL_SURFACE;EL_SUR_RAD;EL_SUR_OVERDIM;EL_TEXTURE;EL_GROUP;EL_LAYER;EL_COR_OD_LL;EL_COR_OD_LR;EL_COR_OD_WF;EL_COR_OD_WB;EL_COR_OD_T;EL_MAT_OD;EL_CNC;EL_OVER_QTY;EL_CNC_PROG1;EL_CNC_PROG2;EL_CNC_PROG3;EL_CNC_PROG4;EL_PIC;EL_PLAN;EL_REMARK;EL_REMARK2;EL_REMARK3;EL_BOX;EL_BOX2;EL_MEMO;EL_DIFF_FAC;EL_NR;EL_SUR_F2;EL_SUR_B2;EL_USE_SF;EL_USE_SB;EL_SAW;EL_COLOUR;EL_LIN_WID;EL_PRODUCTION_TYPE;EL_ID;EL_MON_OD_LL;EL_MON_OD_LR;EL_MON_OD_WF;EL_MON_OD_WB;EL_MAC;EL_CUSTOM01;EL_CUSTOM02;EL_CUSTOM03;EL_CUSTOM04;EL_CUSTOM05;EL_CUSTOM06;EL_CUSTOM07;EL_CUSTOM08;EL_CUSTOM09;EL_CUSTOM10;EL_MUL_WITH_POS_QTY;EL_DIRLINE;EL_CHANGESIDES;EL_DEF_TEXTURE;EL_BLOK_ID;EL_BLOK_ELEM_ID;EL_PIC_FILE;EL_PIC_FILE2
1MS_MAS;;MASKA MASIV;;;2;21;;;;1MP18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1178;;;;;;;;;;;;;;;;1;1;0;1;;;;
1POD_FF;;POD FURNIR - kant furnir;;;2;22;;;;1IV18;;1;0;18;0;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;4FRT10;1;0;0;0;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1180;;;;;;;;;;;;;;;;1;1;0;1;;;;
7VIJM_1;;VIJENAC MASIV - PROFIL 1;;;8;49;;;;3MAS;;1;0;0;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;20;0;7;0;7;1;0;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;826;;;;;Profili\Stilski 1 - vijenac.MAC;;;;;;;;;;;1;1;0;1;;;;
1POD_MDF;;POD MDF;;;2;22;;;;1MDF18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1183;;;;;;;;;;;;;;;;1;1;0;1;;;;
7VIJM_2;;VIJENAC MASIV - PROFIL 2;;;8;49;;;;3MAS;;1;0;0;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;20;0;7;0;7;1;0;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;827;;;;;Profili\Stilski 2 - vijenac.MAC;;;;;;;;;;;1;1;0;1;;;;
7VIJM_3;;VIJENAC MASIV - PROFIL 3;;;8;49;;;;3MAS;;1;0;0;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;20;0;7;0;7;1;0;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;828;;;;;Profili\Stilski 3 - vijenac.MAC;;;;;;;;;;;1;1;0;1;;;;
1POD;;POD;;;2;22;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;;;;0;0;0;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1179;;;;;;;;;;;;;;;;1;1;0;1;;;;
7IOD_VODD2_G2L;;IN_OUT DRIVE VODILICA DONJA DVOSTRUKA;ger Lijevo 2 istostrano;;8;46;;;;AS_SAS510.103;;1;0;;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;0;0;0;0;0;1;0;0;;;;;System.Byte[];;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1032;;;;;;;;;;;;;;;;1;1;0;1;;;AluStyle\In-Out Drive donja vodilice ger L istosmjerno.jpg;
7IOD_VERTSL;;IN_OUT DRIVE VERTIKALA ŠIROKA LIJEVA;;;8;46;;;;AS_SAS510.202;;1;0;0;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;0;0;0;0;0;1;0;0;;;;;System.Byte[];;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1036;;;;;;;;;;;;;;;;1;1;0;1;;;AluStyle\In-Out Drive vertikalni profil 40x35 simetricni.jpg;
1POD_FM;;POD FURNIR - kant masiv;;;2;22;;;;1IV18;;1;0;18;0;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;3MAS;10;0;0;1;0;;2_LICE1;2_NAL1;8LAK-2X;8LAK-2X;2;2;2;2;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1181;;;;;;;;;;;;;;;;1;1;0;1;;;;
1POD_MAS;;POD MASIV;;;2;22;;;;1MP18;;1;0;18;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1182;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGH4_PSLD;;PREGRADA HORIZONTALNA - kant 4;Prednji Stražnji Lijevi Desni;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;;;;0;0;1;0;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1051;;;;;;;;;;;;;;;;1;1;0;1;;;;
7IOD_VODD2_G2D;;IN_OUT DRIVE VODILICA DONJA DVOSTRUKA;ger Desno 2 istostrano;;8;46;;;;AS_SAS510.103;;1;0;;0;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;5;4026531840;0;0;0;0;0;1;0;0;;;;;System.Byte[];;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1033;;;;;;;;;;;;;;;;1;1;0;1;;;AluStyle\In-Out Drive donja vodilice ger D istosmjerno.jpg;
2PREGH3_PXLD;;PREGRADA HORIZONTALNA - kant 3;Prednji Lijevi Desni;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;;0;0;0;0;;4ABS10;1;0;0;0;0;;4ABS10;1;0;0;0;0;;;;;;0;0;1;1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1052;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGV4_PSLD;;PREGRADA VERTIKALNA- kant 4;Prednji Stražnji Lijevi Desni;;54;;;;;1IL18;;1;0;18;0;4ABS10;1;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;0;0;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1050;;;;;;;;;;;;;;;;1;1;0;1;;;;
2PREGH_S;;PREGRADA HORIZONTALNA STAKLENA;;;54;;;;;5STAKLO-10;;1;0;10;0;;;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;0;0;0;0;0;;;;;;-1;-1;-1;-1;0;0;;0;1;4026531840;0;0;0;0;0;1;1;0;;;;;;;;;;;;System.Byte[];1;0;;;1;1;1;-16777216;4026531840;0;1054;;;;;;;;;;;;;;;;1;1;0;1;;;;
