UP_KEY;UP_DESC;UP_ALLOW_NEG;UP_IS_INT;UP_LIM_MIN;UP_LIM_MAX;UP_CAPTION;UP_LONGDESC;UP_TYPE;UP_PICTURE;UP_IS_WMF
GERL2;Ger lijevo;;0;;;Lijevo naprijed/Lijevo nazad;;0;;
GERD2;Ger desno;;0;;;Desno naprijed/Desno nazad;;0;;
NASTL;Nastavak lijevo;;0;;;Bez/Naprijed/Nazad;;0;;
NASTD;Nastavak desno;;0;;;Bez/Naprijed/Nazad;;0;;
IZR_4;Izračun 4;;0;;;;Pomoćno polje za izračun;0;;
IZR_5;Izračun 5;;0;;;;Pomoćno polje za izračun;0;;
IZR_6;Izračun 6;;0;;;;Pomoćno polje za izračun;0;;
IZR_7;Izračun 7;;0;;;;Pomoćno polje za izračun;0;;
IZR_8;Izračun 8;;0;;;;Pomoćno polje za izračun;0;;
IZR_9;Izračun 9;;0;;;;Pomoćno polje za izračun;0;;
RASPK;Raspored krila;;0;;;_-- PS/--_ SP/_--_ PSP/--_-- SPS/_--_-- PSPS/--_--_ SPSP/--__-- SPPS;;0;;
UKL1L;Uklada 1 - duljina;;0;;;;0 = Jedna uklada; 1-100 = Izračun duljine uklade; >100 = Vidljiva duljina uklade;0;;
BBW;Blenda bočna - širina;;;;;;;0;;
VS;Vez - smjer;;;;;Horizontalno/Vertikalno;;0;;
PRGOP;Pregrada - odmak prednji;1;;;;;;0;System.Byte[];1
PRGOS;Pregrada - odmak stražnji;;;;;;;0;System.Byte[];1
UTZV;Utor - zrak po visini;;;;;;;0;System.Byte[];1
LE;Lijevo;0;0;;;Ne/Da;;0;;0
LEDPC;LED pod dodatni cijeli;0;0;;;Lijevi/Desni;;0;System.Byte[];0
DMAS;Dodatna maska;0;0;;;Ne/Da;;0;;0
COL;Boja;0;1;;;SW/OG/IG/CS/GR;;0;;0
ZAH;Zahvatnik;0;0;;;Ne/Da;;0;;0
RUBI;Rub izbor;;;;;1/2/3/4;Rub elementa prema kojemu će biti okrenut ravni rub širine izreza;0;System.Byte[];0
RDN2;Broj relinga;;;;;1/2/3;;0;;
OFREL;Razmak relinga;;;;;;;0;;
ZAK;Blokada;;;;;Ne/Da;;0;;
ZWT;Zamjena širina-debljina;;;;;Širina/Debljina;;0;System.Byte[];0
COL1;Boja 1;;1;;;IC/SI/ST/ZI;;0;;
POLOP;Polica - odmak prednji;1;;;;;;0;System.Byte[];1
POLOS;Polica - odmak stražnji;;;;;;;0;System.Byte[];1
POLOD;Polica - odmak po duljini;;;;;;;0;System.Byte[];1
PODOD;Pod - odmak dolje;;;;;;;0;System.Byte[];1
STPOG;Strop - odmak gore;;;;;;;0;System.Byte[];1
PODOP;Pod - odmak prednji;;;;;;;0;System.Byte[];1
PODOS;Pod - odmak stražnji;;;;;;;0;System.Byte[];1
STPOP;Strop - odmak prednji;;;;;;;0;System.Byte[];1
STPOS;Strop - odmak stražnji;;;;;;;0;System.Byte[];1
RCN;Rupa za cijev od nape;;;;;Ne/Prolazna/Lijevo/Desno;;0;System.Byte[];0
COL2;Boja2;;;;;Alu/Bijela/Crna;;0;;
DDRUC;Duzina D rucke;;;;;;;0;;
KVNI;Kuhinjski viseći - napa izvlačna debljina;;;;;;;0;;
KVNM;Kuhinjski viseći - napa - visina motora;;;;;;;0;System.Byte[];0
KVNT;Kuhinjski viseći - napa tip;;;;;1 - Izvlačna/2 - Podgradna;;0;System.Byte[];0
KVF1;Kuhinjski viseći fronte;;;;;1 - Zaokretna lijeva/2 - Zaokretna desna/3 - Zaokretna dvokrilna;;0;System.Byte[];0
RCN1;Rupa za cijev od nape;;;;;1 - Gore/2 - Straga/3 - Lijevo/4 - Desno;;0;System.Byte[];0
RCNFI;Rupa za cijev od nape - promjer;;;;;;;0;System.Byte[];0
KDOSG;Kuhinjski donji - odmak sprijeda - Gola;;;;;0,5/2/Gola;;0;System.Byte[];0
KODS;Kuhinjski ormar do stropa;;;;;1 - Ne/2 - zajednička maska/3 - L maska bez izreza/4 - L maska s izrezom/5 - I maska;;0;System.Byte[];0
GOLA;Aktor Ne/Da;;;;;Ne/Da;;0;System.Byte[];0
ODPU;Odmak od ugla;0;0;;;;;0;System.Byte[];0
BBR;Br;;;;;;;0;;
BLE;SREDIŠNJI horizontalni profil ;;;;;Ne/Da;;0;;
KLS;Tip okovnog kliznog sustava;;;;;ER10-M4/H3-10;;0;;
MTUKL;Materijal uklade;;0;;;U104 IVERAL 10mm ST9/U727 IVERAL 10mm ST9/W980 IVERAL 10mm ST2;;0;;
OGL;Ogledalo;;;;;;;0;;
PKV;Preklop kliznih vrata;;;;;;;0;;
SOG;Sa ojacanjem;;;;;Ne/Da;;0;;
V5;Visina 5;;;;;;;0;;
BRK;Broj vrata;;1;;;2/3/4;;0;;
