MAT_KEY;MAT_KEY2;MAT_DESC;MAT_DESC2;MAT_DESCS;MAT_MANUF_KEY;MAT_THICK;MAT_COL;MAT_COL2;MAT_LAYER;MAT_GROUP;MAT_ART1;MAT_ART2;MAT_ART3;MAT_ART4;MAT_ART5;MAT_W_UN;MAT_O_UN;MAT_ROT;MAT_WEIGHT;MAT_W_PRICE;MAT_BM_L;MAT_BM_W;MAT_BM_T;MAT_ED_L;MAT_ED_W;MAT_ED_T;MAT_ED_M;MAT_MEMO;MAT_DRILL;MAT_DATE;MAT_MC_MAT;MAT_MC_MAT_NO_EDGE;MAT_MR_MAT;MAT_MP_MAT;MAT_MATHATCH;MAT_DECORE;MAT_LEVEL1;MAT_LEVEL2;MAT_LEVEL3;MAT_LEVEL_ABAND;MAT_LEVEL_TMP;MAT_CUSTOM01;MAT_CUSTOM02;MAT_CUSTOM03;MAT_CUSTOM04;MAT_CUSTOM05;MAT_CUSTOM06;MAT_CUSTOM07;MAT_CUSTOM08;MAT_CUSTOM09;MAT_CUSTOM10;MAT_NO_ORDER;MAT_ID;MAT_F_LEN;MAT_F_WID;MAT_F_THK;MAT_FACT;MAT_REST;MAT_MAC;MAT_ROUTER_GROUP;MAT_IMAGE_ID;MAT_ROUTER_DATA;MAT_COL_RAL;MAT_COL_NCS
EG_F121ST87_A1543;;ABS F121ST87   1,5/43 mm ;;2;;1,5;0;-16711936;4026531840;4026531840;4;93;125;;;M1;M1;1;0;0;0;0;0;70;0;0;0;;0;9.4.2026. 0:00:00;Egger24plus\F121;;;;;F121ST87  ;0;0;1;0;0;;;;;;;;;;;0;11440;0;43;1,5;1;0;;;;;;
4ABS_LEDA;;ABS LEĐA;;;;0,8;-256;-256;4026531840;4026531840;4;93;282;;;M1;KOL;0;0;0;0;0;0;10;0;0;0,8;System.Byte[];0;23.2.2026. 0:00:00;;;;;;;1;0;0;0;1;;;;;;;;;;;0;11910;0;0;0,8;100;10;;;;;;
8U-RM-PURE;;ULJE RUBIO PURE;PURE;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8229;0;0;0;1;0;;;;;;
8U-RM-SKY_GREY;;ULJE RUBIO SKY GREY;SKY GREY;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8230;0;0;0;1;0;;;;;;
8U-RM-SMOKED_WHITE;;ULJE RUBIO SMOKED WHITE;SMOKED WHITE;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8231;0;0;0;1;0;;;;;;
8U-RM-SUPER_WHITE;;ULJE RUBIO SUPER WHITE;SUPER WHITE;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8232;0;0;0;1;0;;;;;;
8U-RM-VANILLA;;ULJE RUBIO VANILLA;VANILLA;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8233;0;0;0;1;0;;;;;;
8U-RM-WALNUT;;ULJE RUBIO WALNUT;WALNUT;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8234;0;0;0;1;0;;;;;;
8U-RM-WHITE;;ULJE RUBIO WHITE;WHITE;;;0;0;0;4026531840;4026531840;8;293;;;;KG;KG;1;1;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;;;;;;;1;0;0;0;0;;;;;;;;;;;0;8235;0;0;0;1;0;;;;;;
5STAKLO_SATINATO-04;;STAKLO SATINATO 4 mm;;;;4;-13904427;-16777216;4026531840;4026531840;5;;;;;M2;M2;1;0;0;0;0;0;0;0;0;0;System.Byte[];0;3.6.2025. 0:00:00;Staklo;;Mliječno staklo;;;;1;0;0;0;0;;;;;;;;;;;0;8236;0;0;0;1;0;;;;;;
